capital.mg: 10 mx00.udag.de.
capital.mg: 20 mx01.udag.de.
labo.mg: 50 fb.mail.gandi.net.
labo.mg: 10 spool.mail.gandi.net.
get.mg: 100 mx3.mail.ovh.net.
get.mg: 5 mx2.mail.ovh.net.
get.mg: 1 mx1.mail.ovh.net.
godaddy.mg: 0 .
mycanal.mg: 10 mx4.nameshield.net.
mycanal.mg: 0 mx3.nameshield.com.
cro.mg: 10 alt4.aspmx.l.google.com.
cro.mg: 5 alt1.aspmx.l.google.com.
cro.mg: 1 aspmx.l.google.com.
cro.mg: 5 alt2.aspmx.l.google.com.
cro.mg: 10 alt3.aspmx.l.google.com.
jet.mg: 10 jet-mg.mail.protection.outlook.com.
hahn.mg: 1 aspmx.l.google.com.
hahn.mg: 5 alt2.aspmx.l.google.com.
hahn.mg: 5 alt1.aspmx.l.google.com.
hahn.mg: 10 alt4.aspmx.l.google.com.
hahn.mg: 10 alt3.aspmx.l.google.com.
totalenergies.mg: 10 totalenergies-mg.mail.protection.outlook.com.
biontech.mg: 20 mx01.udag.de.
biontech.mg: 10 mx00.udag.de.
mads.mg: 0 mads-mg.mail.protection.outlook.com.
google.mg: 0 smtp.google.com.
1x-bet.mg: 1 smtp.google.com.
aire.mg: 10 mail.aire.mg.
hisense.mg: 10 mx2.netim.net.
hisense.mg: 10 mx1.netim.net.
gem.mg: 5 mx2.tambazotra.net.
gem.mg: 5 mx1.tambazotra.net.
gem.mg: 20 mx3.tambazotra.net.
abc.mg: 10 mail.abc.mg.
opsec.mg: 0 matrix.uh-net.com.
mobility.mg: 1 ASPMX.L.GOOGLE.COM.
mobility.mg: 5 ALT1.ASPMX.L.GOOGLE.COM.
mobility.mg: 10 ALT4.ASPMX.L.GOOGLE.COM.
mobility.mg: 5 ALT2.ASPMX.L.GOOGLE.COM.
mobility.mg: 10 ALT3.ASPMX.L.GOOGLE.COM.
mcb.mg: 1 mcb-mg.mail.protection.outlook.com.
transit.mg: 1 transit-mg.mail.protection.outlook.com.
lotus.mg: 1 mx1.ovh.net.
lotus.mg: 100 mxb.ovh.net.
lotus.mg: 5 mx2.ovh.net.
nix.mg: 10 mail.nix.mg.
seer.mg: 0 smtp.google.com.
antonio.mg: 5 alt1.aspmx.l.google.com.
antonio.mg: 1 aspmx.l.google.com.
antonio.mg: 10 alt4.aspmx.l.google.com.
antonio.mg: 5 alt2.aspmx.l.google.com.
antonio.mg: 10 alt3.aspmx.l.google.com.
vita.mg: 0 vita.mg.
opium.mg: 10 mail.opium.mg.
mixx.mg: 0 .
bank.mg: 0 localhost.
mono.mg: 10 mx.zoho.eu.
mono.mg: 20 mx2.zoho.eu.
mono.mg: 50 mx3.zoho.eu.
mm.mg: 10 mx002.dclux.xion.oxcs.net.
mm.mg: 10 mx001.dclux.xion.oxcs.net.
mm.mg: 10 mx004.dclux.xion.oxcs.net.
mm.mg: 10 mx003.dclux.xion.oxcs.net.
shopit.mg: 10 mfwd.eurodns.com.
manda.mg: 1 mx1.mail.ovh.net.
manda.mg: 100 mx3.mail.ovh.net.
manda.mg: 5 mx2.mail.ovh.net.
1up.mg: 5 alt2.aspmx.l.google.com.
1up.mg: 1 aspmx.l.google.com.
1up.mg: 10 alt4.aspmx.l.google.com.
1up.mg: 10 alt3.aspmx.l.google.com.
1up.mg: 5 alt1.aspmx.l.google.com.
cdiscount.mg: 10 custmx.cscdns.net.
sbo.mg: 10 mail.sbo.mg.
digi.mg: 0 digi.mg.
ok.mg: 5 alt2.aspmx.l.google.com.
ok.mg: 10 aspmx2.googlemail.com.
ok.mg: 1 aspmx.l.google.com.
ok.mg: 10 aspmx3.googlemail.com.
ok.mg: 5 alt1.aspmx.l.google.com.
ming.mg: 10 mail.ming.mg.
mci.mg: 1 mail.eva.mg.
mci.mg: 50 mx2.ovh.net.
mci.mg: 100 mxb.ovh.net.
mci.mg: 10 mx1.ovh.net.
xvideos.mg: 10 xvideos.mg.
