dollar.sx: 10 mail.dollar.sx.
alexandre.sx: 10 spool.mail.gandi.net.
alexandre.sx: 50 fb.mail.gandi.net.
entry.sx: 0 entry-sx.mail.protection.outlook.com.
victor.sx: 10 aspmx3.googlemail.com.
victor.sx: 5 alt1.aspmx.l.google.com.
victor.sx: 1 aspmx.l.google.com.
victor.sx: 10 aspmx2.googlemail.com.
victor.sx: 5 alt2.aspmx.l.google.com.
scientology.sx: 10 MAIL.101DOMAIN.COM.
xmail.sx: 10 mail.xmail.sx.
church.sx: 20 mx20.antispam.mailspamprotection.com.
church.sx: 30 mx30.antispam.mailspamprotection.com.
church.sx: 10 mx10.antispam.mailspamprotection.com.
smac.sx: 0 .
graham.sx: 1 ASPMX.L.GOOGLE.COM.
graham.sx: 10 ALT1.ASPMX.L.GOOGLE.COM.
graham.sx: 20 ALT3.ASPMX.L.GOOGLE.COM.
graham.sx: 10 ALT2.ASPMX.L.GOOGLE.COM.
graham.sx: 30 ALT4.ASPMX.L.GOOGLE.COM.
heineken.sx: 10 custmx.cscdns.net.
spareroom.sx: 10 mail.spareroom.sx.
baccarat.sx: 10 mail.baccarat.sx.
pattaya.sx: 44 route1.mx.cloudflare.net.
pattaya.sx: 83 route2.mx.cloudflare.net.
pattaya.sx: 42 route3.mx.cloudflare.net.
kurt.sx: 5 alt2.aspmx.l.google.com.
kurt.sx: 10 alt3.aspmx.l.google.com.
kurt.sx: 10 alt4.aspmx.l.google.com.
kurt.sx: 1 aspmx.l.google.com.
kurt.sx: 5 alt1.aspmx.l.google.com.
maia.sx: 5 mx1.hostinger.com.
maia.sx: 10 mx2.hostinger.com.
joel.sx: 20 mail2.nfoservers.com.
joel.sx: 10 mail.nfoservers.com.
nathan.sx: 50 mx3.zoho.com.
nathan.sx: 20 mx2.zoho.com.
nathan.sx: 10 mx.zoho.com.
ime.sx: 0 ime.sx.
cmd.sx: 10 cmd.sx.
yuni.sx: 0 peacock.uberspace.de.
omega.sx: 5 sgrmgw5.swatchgroup.com.
omega.sx: 5 sgrmgw6.swatchgroup.com.
glt.sx: 10 spool.mail.gandi.net.
glt.sx: 50 fb.mail.gandi.net.
nextdirect.sx: 10 custmx.cscdns.net.
wlc.sx: 0 wlc-sx.mail.protection.outlook.com.
zurich.sx: 10 custmx.cscdns.net.
gwm.sx: 10 spool.mail.gandi.net.
gwm.sx: 50 fb.mail.gandi.net.
chris.sx: 0 webhost.dynadot.com.
rez.sx: 10 alt3.aspmx.l.google.com.
rez.sx: 5 alt1.aspmx.l.google.com.
rez.sx: 5 alt2.aspmx.l.google.com.
rez.sx: 10 alt4.aspmx.l.google.com.
rez.sx: 1 aspmx.l.google.com.
moroccanoil.sx: 10 mfwd.eurodns.com.
chr.sx: 10 spool.mail.gandi.net.
chr.sx: 50 fb.mail.gandi.net.
ufa.sx: 20 mx01.udag.de.
ufa.sx: 10 mx00.udag.de.
fmovies.sx: 10 park-mx.above.com.
zion.sx: 0 parkmail.dynadot.com.
kio.sx: 10 mx0.123-reg.co.uk.
kio.sx: 20 mx1.123-reg.co.uk.
soap2day.sx: 10 park-mx.above.com.
vin777.sx: 10 alt3.aspmx.l.google.com.
vin777.sx: 5 alt1.aspmx.l.google.com.
vin777.sx: 10 alt4.aspmx.l.google.com.
vin777.sx: 5 alt2.aspmx.l.google.com.
vin777.sx: 1 aspmx.l.google.com.
optimum.sx: 10 alt3.aspmx.l.google.com.
optimum.sx: 5 alt1.aspmx.l.google.com.
optimum.sx: 1 aspmx.l.google.com.
optimum.sx: 5 alt2.aspmx.l.google.com.
optimum.sx: 10 alt4.aspmx.l.google.com.
parking.sx: 10 MAIL.101DOMAIN.COM.
paze.sx: 10 custmx.cscdns.net.
afi.sx: 10 MAIL.101DOMAIN.COM.
fbi.sx: 10 mail.fbi.sx.
fbi.sx: 50 mx3.zoho.com.
fbi.sx: 10 mx.zoho.com.
fbi.sx: 20 mx2.zoho.com.
swatch.sx: 5 sgrmgw5.swatchgroup.com.
swatch.sx: 5 sgrmgw6.swatchgroup.com.
merck.sx: 10 mailgateway01.merck.de.
merck.sx: 20 mailgateway02.merck.de.
cha.sx: 20 alt1.aspmx.l.google.com.
cha.sx: 30 aspmx2.googlemail.com.
cha.sx: 30 aspmx3.googlemail.com.
cha.sx: 10 aspmx.l.google.com.
cha.sx: 20 alt2.aspmx.l.google.com.
swiss.sx: 5 mx1.hostinger.com.
swiss.sx: 10 mx2.hostinger.com.
mew.sx: 10 mail.mew.sx.
zapzap.sx: 10 mail.zapzap.sx.
antonio.sx: 0 antonio-sx.mail.protection.outlook.com.
rco.sx: 50 fb.mail.gandi.net.
rco.sx: 10 spool.mail.gandi.net.
don.sx: 0 mail.don.sx.
don.sx: 10 don.sx.
stb.sx: 10 mail.stb.sx.
ibm.sx: 10 custmx.cscdns.net.
nex.sx: 20 mailsec.protonmail.ch.
nex.sx: 10 mail.protonmail.ch.
govt.sx: 10 govt.sx.
govt.sx: 0 mail.govt.sx.
reynolds.sx: 10 mx2.netim.net.
reynolds.sx: 10 mx1.netim.net.
myemail.sx: 0 mail.myemail.sx.
skyscanner.sx: 0 .
lily.sx: 0 lily.sx.
ord.sx: 0 mx-caprica.easydns.com.
roku.sx: 10 park-mx.above.com.
blau.sx: 10 relay1.netnames.net.
blau.sx: 20 relay2.netnames.net.
carrera.sx: 0 .
ecolab.sx: 1 bh.markmonitor.com.
sncf.sx: 10 relay1.netnames.net.
sncf.sx: 10 relay2.netnames.net.
femboy.sx: 0 localhost.
pablo.sx: 0 mail.tutanota.de.
turkcell.sx: 10 MAIL.101DOMAIN.COM.
trk.sx: 10 aspmx.l.google.com.
trk.sx: 20 alt2.aspmx.l.google.com.
trk.sx: 30 aspmx3.googlemail.com.
trk.sx: 30 aspmx2.googlemail.com.
trk.sx: 20 alt1.aspmx.l.google.com.
skip.sx: 5 ALT2.ASPMX.L.GOOGLE.COM.
skip.sx: 10 ASPMX2.GOOGLEMAIL.COM.
skip.sx: 5 ALT1.ASPMX.L.GOOGLE.COM.
skip.sx: 10 mail.skip.sx.
skip.sx: 10 ASPMX3.GOOGLEMAIL.COM.
skip.sx: 1 ASPMX.L.GOOGLE.COM.
txt.sx: 10 mail.txt.sx.
tours.sx: 0 mail.tours.sx.
dxp.sx: 10 mx01.mail.icloud.com.
dxp.sx: 10 mx02.mail.icloud.com.
goddess.sx: 10 MAIL.101DOMAIN.COM.
jung.sx: 10 mail.swiss.berlin.
jung.sx: 50 mail.mx.vu.
