AS-VULTR	HAWKHOST (AS20068)	153
forkandflame.id	OVH SAS (AS16276)	1
CLOUDFLARENET	PT Dewa Bisnis Digital (AS140389)	45
PT Qwords Company International	GOOGLE (AS15169)	26
CLOUDFLARENET	Tencent Building, Kejizhongyi Avenue (AS132203)	20
hidden-server.net	CV. NATANETWORK SOLUTION (AS138131)	114
AS-VULTR	PT. Cybertechtonic Pratama (AS131745)	13
javanic.com	Hostinger International Limited (AS47583)	1
domainesia.com	FASTLY (AS54113)	17
liqu.id	Alibaba US Technology Co., Ltd. (AS45102)	2
registrar-servers.com	DIGITALOCEAN-ASN (AS14061)	145
registrar-servers.com	PT Blip Integrator Provider (AS149746)	1
indowebsite.net	GOOGLE (AS15169)	4
co.id	AMAZON-02 (AS16509)	16
PONYNET	Wildcard UK Limited (AS34119)	18
PT. Jupiter Jala Arta	PT. Jupiter Jala Arta (AS131775)	27
CLOUDFLARENET	Eurofiber Cloud Infra B.V. (AS25459)	1
biz.id	PT Jaringan Internet Banten (AS147087)	1
PT JC Indonesia	AMAZON-02 (AS16509)	76
CLOUDFLARENET	UpCloud Ltd (AS202053)	50
baristoft.com	WHG Hosting Services Ltd (AS204800)	2
net.id	Wix.com Ltd. (AS58182)	2
co.id	CV Andhika Pratama Sanggoro (AS141892)	109
linode.com	Akamai Connected Cloud (AS63949)	92
AS-VULTR	DIGITALOCEAN-ASN (AS14061)	7
BUNNYWAY, informacijske storitve d.o.o.	Hetzner Online GmbH (AS215859)	1
rumahweb.biz	PT Cloud Hosting Indonesia (AS136052)	54
sylvia.id	Datacamp Limited (AS60068)	1
smeru.online	Hostinger International Limited (AS47583)	1
DIGICERT	AMAZON-02 (AS16509)	4
ciptamaya.net	ARDH GLOBAL INDONESIA, PT (AS45731)	1
MCMNET	MCMNET (AS22034)	3
domainesia.com	Enflow B.V. (AS209626)	1
HURRICANE	PT. Teknologi Bumi Nusantara (AS139946)	2
Anverino Software SRL	HOSTWINDS (AS54290)	3
LEASEWEB SINGAPORE PTE. LTD.	AS-COLOCROSSING (AS36352)	1
CLOUDFLARENET	PT Ashyla Karya Abadi (AS152440)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	44
ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.	ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE. (AS38623)	8
registrar-servers.com	GO p.l.c. (AS15735)	6
DIGICERT	AMAZON-AES (AS14618)	3
masterweb.com	PT. EXABYTES NETWORK INDONESIA (AS136170)	388
CLOUDFLARENET	PT. Dhecyber Flow Indonesia (AS24195)	3
GOOGLE	Hostinger International Limited (AS47583)	2
CLOUDFLARENET	Aussie Broadband (AS4764)	3
CLOUDFLARENET	PT Rizki Tujuhbelas Kelola (AS149729)	1
PT Qwords Company International	HAWKHOST (AS20068)	1
CLOUDFLARENET	PT Anym Network Indonesia (AS199695)	2
rumahweb.biz	Cloudflare London, LLC (AS209242)	24
rumahweb.biz	Akamai Connected Cloud (AS63949)	94
PT Topsetting Sentra Akses	PT Topsetting Sentra Akses (AS153127)	12
net.id	PT. Uninet Media Sakti ISP (AS17884)	3
Anverino Software SRL	OVH SAS (AS16276)	2
muumuu-domain.com	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
PT Infinys System Indonesia	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
m3mediasolo.com	Varnion Technology Semesta, PT (AS45287)	2
rumahweb.biz	PT Mora Telematika Indonesia (AS131111)	5
CLOUDFLARENET	HUAWEI CLOUDS (AS136907)	28
CLOUDFLARENET	GOOGLE-2 (AS19527)	13
berkat.org	UNIFIEDLAYER-AS-1 (AS46606)	4
domosquare.com	PT. Cybertechtonic Pratama (AS131745)	310
mysrsx.biz	Cloudflare London, LLC (AS209242)	3
kanopipremium.id	OVH SAS (AS16276)	1
fasthoster.id	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
idgx.net	Wow Internet Indonesia (AS58381)	19
CLOUDFLARENET	SpeedyPage Ltd (AS142594)	32
PT CITRAWEB DIGITAL MULTISOLUSI	PT CITRAWEB DIGITAL MULTISOLUSI (AS138069)	69
garudamultitalent.net	Varnion Technology Semesta, PT (AS45287)	3
PT Biznet Gio Nusantara	CLOUDFLARENET (AS13335)	2
CLOUDFLARENET	PT Infinys System Indonesia (AS58397)	32
Host Europe GmbH	CLOUDFLARENET (AS13335)	63
domainesia.com	Akamai Connected Cloud (AS63949)	34
galuhweb.net	PT Media Access Telematika (AS142381)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Datacenter Luxembourg S.A. (AS24611)	1
ardetamedia.com	PT ARDETAMEDIA GLOBAL KOMPUTINDO (AS136851)	30
CLOUDFLARENET	NewMedia Express Pte Ltd (AS38001)	4
sportifest.id	PT Biznet Gio Nusantara (AS133800)	1
nusantarahost.com	Contabo Asia Private Limited (AS141995)	1
PT Qwords Company International	PT iForte Global Internet (AS17995)	4
lycon.id	PT Biznet Gio Nusantara (AS133800)	1
NUCDN	AMAZON-02 (AS16509)	3
warnahost.net	PT Warna Data Multimedia (AS141120)	96
masterweb.com	CLOUDFLARENET (AS13335)	18
CV. Rumahweb Indonesia	CV. Rumahweb Indonesia (AS58487)	5
rumahweb.biz	PT Transdata Sejahtera (AS132653)	1
net.id	PT. Beon Intermedia (AS55688)	4
rumahweb.biz	PT Cyberindo Aditama (AS4787)	4
PT Infinys System Indonesia	Akamai Connected Cloud (AS63949)	2
wartabeta.id	Contabo GmbH (AS51167)	1
CLOUDFLARENET	PT. Eka Mas Republik (AS63859)	16
Wow Internet Indonesia	Wow Internet Indonesia (AS58381)	14
mschosting.com	Exa Bytes Network Sdn.Bhd. (AS46015)	12
hostdata.id	PT Industri Kreatif Digital (AS141968)	20
IONOS SE	united-domains GmbH (AS202108)	122
CLOUDFLARENET	PT Desible Eradata Komunikasi (AS152424)	1
constellix.com	DIGICERT (AS16552)	2
Infomaniak Network SA	Signet B.V. (AS20857)	1
HURRICANE	Universitas Negeri Yogyakarta (AS55674)	1
domainesia.com	GOOGLE-CLOUD-PLATFORM (AS396982)	13
masterweb.com	Alibaba US Technology Co., Ltd. (AS45102)	7
ipcom GmbH	Metaregistrar B.V. (AS42585)	40
unknown	PT Ikubaru Indonesia (AS135444)	4
GOOGLE	INTERLINK TECHNOLOGY, PT (AS45298)	2
kuncihost.com	AS-VULTR (AS20473)	10
net.id	PT ARTHA TELEKOMINDO (AS23953)	18
unknown	AMAZON-02 (AS16509)	3
PT Qwords Company International	CLOUDFLARENET (AS13335)	52
movavi.com	Leaseweb Deutschland GmbH (AS28753)	1
net.id	PT. Dutakom Wibawa Putra (AS38778)	1
PT Qwords Company International	Alibaba US Technology Co., Ltd. (AS45102)	14
rumahweb.biz	BIZNET NETWORKS (AS17451)	9
Infomaniak Network SA	Infomaniak Network SA (AS29222)	13
harianmalang.id	OVH SAS (AS16276)	1
Cloud DNS Ltd	OVH SAS (AS16276)	21
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	3
internet-webhosting.com	SKSA TECHNOLOGY SDN BHD (AS132241)	2
domainesia.com	Cloudflare London, LLC (AS209242)	10
CLOUDFLARENET	Lintas Data Prima, PT (AS45305)	3
fafafaasia.xyz	NAMECHEAP-NET (AS22612)	1
AMAZON-02	Universitas Negeri Semarang (AS58400)	1
CLOUDFLARENET	PT Industri Kreatif Digital (AS141968)	35
Safenames Ltd.	Safenames Ltd. (AS60819)	58
cmhoster.com	CV Andhika Pratama Sanggoro (AS141892)	18
mschosting.com	China Unicom Guangdong IP network (AS136958)	1
co.id	INDO Internet, PT (AS9340)	5
