abs.sc: 0 abs-sc.mail.protection.outlook.com.
toys.sc: 0 .
spas.sc: 10 mail.spas.sc.
pico.sc: 0 pico-sc.mail.protection.outlook.com.
dbs.sc: 0 dbs-sc.mail.protection.outlook.com.
face.sc: 82 route2.mx.cloudflare.net.
face.sc: 80 route1.mx.cloudflare.net.
face.sc: 29 route3.mx.cloudflare.net.
mia.sc: 10 mia.sc.
juna.sc: 1 smtp.google.com.
d.sc: 10 MAIL.101DOMAIN.COM.
glia.sc: 0 regulus.uberspace.de.
extra.sc: 10 mx2.hostinger.com.br.
extra.sc: 5 mx1.hostinger.com.br.
iota.sc: 10 w011a869.kasserver.com.
vega.sc: 5 alt1.aspmx.l.google.com.
vega.sc: 10 alt4.aspmx.l.google.com.
vega.sc: 5 alt2.aspmx.l.google.com.
vega.sc: 10 alt3.aspmx.l.google.com.
vega.sc: 1 aspmx.l.google.com.
ago.sc: 5 mail.ago.sc.
easy.sc: 0 easy.sc.
fonbet.sc: 10 MAIL.101DOMAIN.COM.
kayak.sc: 10 MAIL.101DOMAIN.COM.
sum.sc: 10 sum.sc.
sum.sc: 0 mail.sum.sc.
cds.sc: 0 localhost.
livejasmin.sc: 10 mail.livejasmin.sc.
pnp.sc: 5 webmail.pnp.sc.
pnp.sc: 0 mx-s5.vivawebhost.com.
scr.sc: 30 aspmx2.googlemail.com.
scr.sc: 10 mail15.onamae.ne.jp.
scr.sc: 30 aspmx3.googlemail.com.
scr.sc: 20 alt2.aspmx.l.google.com.
scr.sc: 20 alt1.aspmx.l.google.com.
scr.sc: 10 aspmx.l.google.com.
nature.sc: 10 mx15.seychelles.net.
nature.sc: 5 mx10.seychelles.net.
nature.sc: 10 mx20.seychelles.net.
nature.sc: 10 mx5.seychelles.net.
just.sc: 10 custmx.cscdns.net.
dew.sc: 1 mail.mailerhost.net.
craft.sc: 20 mailsec.protonmail.ch.
craft.sc: 10 mail.protonmail.ch.
bier.sc: 10 mx01.easyname.eu.
bier.sc: 10 mx02.easyname.eu.
mycar.sc: 20 mx20.antispam.mailspamprotection.com.
mycar.sc: 30 mx30.antispam.mailspamprotection.com.
mycar.sc: 10 mx10.antispam.mailspamprotection.com.
emenu.sc: 10 mx1.us.opalstack.com.
emenu.sc: 10 mx2.us.opalstack.com.
gross.sc: 10 mta-gw.infomaniak.ch.
pain.sc: 10 alt4.aspmx.l.google.com.
pain.sc: 10 alt3.aspmx.l.google.com.
pain.sc: 5 alt1.aspmx.l.google.com.
pain.sc: 1 aspmx.l.google.com.
pain.sc: 5 alt2.aspmx.l.google.com.
weightloss.sc: 1 aspmx.l.google.com.
weightloss.sc: 5 alt1.aspmx.l.google.com.
weightloss.sc: 10 alt3.aspmx.l.google.com.
weightloss.sc: 5 alt2.aspmx.l.google.com.
weightloss.sc: 10 alt4.aspmx.l.google.com.
united.sc: 10 MAIL.101DOMAIN.COM.
int.sc: 10 spool.mail.gandi.net.
int.sc: 50 fb.mail.gandi.net.
iss.sc: 5 alt1.aspmx.l.google.com.
iss.sc: 1 aspmx.l.google.com.
iss.sc: 10 aspmx2.googlemail.com.
iss.sc: 10 aspmx3.googlemail.com.
iss.sc: 5 alt2.aspmx.l.google.com.
bank.sc: 0 localhost.
