=== 数据来源: uy ===
  MX: LIQUIDNETLTD1                    20  86.96%
  MX: GOOGLE                            3  13.04%

[NS 提供商] ipcom GmbH，域名数 22
  MX: webspace.bz                       6  27.27%
  MX: merck.de                          2   9.09%
  MX: ehorses.de                        1   4.55%
  MX: mazars.uy                         1   4.55%
  MX: ticket-alimentacion.uy            1   4.55%

[NS 提供商] Grupo Sys4net, S.l.，域名数 22
  MX: Grupo Sys4net, S.l.              10  45.45%
  MX: com.uy                            5  22.73%
  MX: ver.uy                            1   4.55%
  MX: gamer.uy                          1   4.55%
  MX: inieto.uy                         1   4.55%

[NS 提供商] gub.uy，域名数 21
  MX: gub.uy                           11  52.38%
  MX: miem.uy                           1   4.76%
  MX: diputados.uy                      1   4.76%
  MX: ine.uy                            1   4.76%
  MX: opp.uy                            1   4.76%

[NS 提供商] lineadns.com，域名数 21
  MX: memorias.uy                       1   4.76%
  MX: estudiovega.uy                    1   4.76%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   4.76%
  MX: nxt4.uy                           1   4.76%
  MX: playachihuahua.uy                 1   4.76%

[NS 提供商] PONYNET，域名数 21
  MX: NAMECRANE                         9  42.86%
  MX: ZOHO-AS                           1   4.76%
  MX: premodern.uy                      1   4.76%
  MX: laclinicadelcelular.uy            1   4.76%
  MX: mathias.uy                        1   4.76%

[NS 提供商] godns.net，域名数 18
  MX: GOOGLE                            3  16.67%
  MX: imaginarios.uy                    1   5.56%
  MX: makipura.uy                       1   5.56%
  MX: mostrarte.uy                      1   5.56%
  MX: sodamerica.uy                     1   5.56%

[NS 提供商] hostingmontevideo.com，域名数 17
  MX: hostingmontevideo.uy              1   5.88%
  MX: hosting.uy                        1   5.88%
  MX: ZOHO-AS                           1   5.88%
  MX: famet.uy                          1   5.88%
  MX: fichaprop.uy                      1   5.88%

[NS 提供商] webhostinghub.com，域名数 17
  MX: dentist.uy                        1   5.88%
  MX: xp.uy                             1   5.88%
  MX: starfit.uy                        1   5.88%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   5.88%
